5 Minutes	Lane 1 Flow (Veh/5 Minutes)
04-01-2016 00:00	12
04-01-2016 00:05	13
04-01-2016 00:10	11
04-01-2016 00:15	13
04-01-2016 00:20	10
04-01-2016 00:25	10
04-01-2016 00:30	13
04-01-2016 00:35	11
04-01-2016 00:40	10
04-01-2016 00:45	6
04-01-2016 00:50	7
04-01-2016 00:55	8
04-01-2016 01:00	8
04-01-2016 01:05	12
04-01-2016 01:10	7
04-01-2016 01:15	5
04-01-2016 01:20	2
04-01-2016 01:25	6
04-01-2016 01:30	4
04-01-2016 01:35	3
04-01-2016 01:40	5
04-01-2016 01:45	6
04-01-2016 01:50	5
04-01-2016 01:55	6
04-01-2016 02:00	7
04-01-2016 02:05	7
04-01-2016 02:10	7
04-01-2016 02:15	3
04-01-2016 02:20	8
04-01-2016 02:25	5
04-01-2016 02:30	6
04-01-2016 02:35	4
04-01-2016 02:40	5
04-01-2016 02:45	7
04-01-2016 02:50	2
04-01-2016 02:55	9
04-01-2016 03:00	10
04-01-2016 03:05	7
04-01-2016 03:10	4
04-01-2016 03:15	6
04-01-2016 03:20	6
04-01-2016 03:25	4
04-01-2016 03:30	6
04-01-2016 03:35	15
04-01-2016 03:40	8
04-01-2016 03:45	9
04-01-2016 03:50	17
04-01-2016 03:55	16
04-01-2016 04:00	11
04-01-2016 04:05	15
04-01-2016 04:10	19
04-01-2016 04:15	15
04-01-2016 04:20	20
04-01-2016 04:25	26
04-01-2016 04:30	24
04-01-2016 04:35	27
04-01-2016 04:40	40
04-01-2016 04:45	50
04-01-2016 04:50	52
04-01-2016 04:55	51
04-01-2016 05:00	47
04-01-2016 05:05	51
04-01-2016 05:10	67
04-01-2016 05:15	72
04-01-2016 05:20	63
04-01-2016 05:25	68
04-01-2016 05:30	93
04-01-2016 05:35	93
04-01-2016 05:40	98
04-01-2016 05:45	95
04-01-2016 05:50	92
04-01-2016 05:55	98
04-01-2016 06:00	114
04-01-2016 06:05	98
04-01-2016 06:10	129
04-01-2016 06:15	125
04-01-2016 06:20	141
04-01-2016 06:25	123
04-01-2016 06:30	146
04-01-2016 06:35	139
04-01-2016 06:40	146
04-01-2016 06:45	146
04-01-2016 06:50	134
04-01-2016 06:55	134
04-01-2016 07:00	147
04-01-2016 07:05	138
04-01-2016 07:10	144
04-01-2016 07:15	131
04-01-2016 07:20	118
04-01-2016 07:25	104
04-01-2016 07:30	110
04-01-2016 07:35	98
04-01-2016 07:40	83
04-01-2016 07:45	79
04-01-2016 07:50	77
04-01-2016 07:55	77
04-01-2016 08:00	87
04-01-2016 08:05	91
04-01-2016 08:10	92
04-01-2016 08:15	79
04-01-2016 08:20	86
04-01-2016 08:25	93
04-01-2016 08:30	94
04-01-2016 08:35	101
04-01-2016 08:40	90
04-01-2016 08:45	83
04-01-2016 08:50	80
04-01-2016 08:55	85
04-01-2016 09:00	86
04-01-2016 09:05	79
04-01-2016 09:10	87
04-01-2016 09:15	104
04-01-2016 09:20	94
04-01-2016 09:25	136
04-01-2016 09:30	126
04-01-2016 09:35	123
04-01-2016 09:40	112
04-01-2016 09:45	104
04-01-2016 09:50	94
04-01-2016 09:55	118
04-01-2016 10:00	87
04-01-2016 10:05	101
04-01-2016 10:10	104
04-01-2016 10:15	97
04-01-2016 10:20	103
04-01-2016 10:25	87
04-01-2016 10:30	102
04-01-2016 10:35	99
04-01-2016 10:40	94
04-01-2016 10:45	86
04-01-2016 10:50	96
04-01-2016 10:55	88
04-01-2016 11:00	83
04-01-2016 11:05	87
04-01-2016 11:10	94
04-01-2016 11:15	94
04-01-2016 11:20	86
04-01-2016 11:25	112
04-01-2016 11:30	102
04-01-2016 11:35	70
04-01-2016 11:40	97
04-01-2016 11:45	80
04-01-2016 11:50	80
04-01-2016 11:55	89
04-01-2016 12:00	93
04-01-2016 12:05	81
04-01-2016 12:10	88
04-01-2016 12:15	81
04-01-2016 12:20	92
04-01-2016 12:25	87
04-01-2016 12:30	83
04-01-2016 12:35	98
04-01-2016 12:40	98
04-01-2016 12:45	89
04-01-2016 12:50	93
04-01-2016 12:55	85
04-01-2016 13:00	99
04-01-2016 13:05	67
04-01-2016 13:10	89
04-01-2016 13:15	63
04-01-2016 13:20	88
04-01-2016 13:25	89
04-01-2016 13:30	80
04-01-2016 13:35	79
04-01-2016 13:40	98
04-01-2016 13:45	102
04-01-2016 13:50	83
04-01-2016 13:55	88
04-01-2016 14:00	102
04-01-2016 14:05	93
04-01-2016 14:10	78
04-01-2016 14:15	87
04-01-2016 14:20	93
04-01-2016 14:25	80
04-01-2016 14:30	67
04-01-2016 14:35	86
04-01-2016 14:40	107
04-01-2016 14:45	100
04-01-2016 14:50	76
04-01-2016 14:55	104
04-01-2016 15:00	95
04-01-2016 15:05	82
04-01-2016 15:10	88
04-01-2016 15:15	90
04-01-2016 15:20	100
04-01-2016 15:25	92
04-01-2016 15:30	99
04-01-2016 15:35	102
04-01-2016 15:40	98
04-01-2016 15:45	86
04-01-2016 15:50	99
04-01-2016 15:55	85
04-01-2016 16:00	102
04-01-2016 16:05	72
04-01-2016 16:10	105
04-01-2016 16:15	97
04-01-2016 16:20	91
04-01-2016 16:25	80
04-01-2016 16:30	83
04-01-2016 16:35	77
04-01-2016 16:40	100
04-01-2016 16:45	82
04-01-2016 16:50	93
04-01-2016 16:55	78
04-01-2016 17:00	87
04-01-2016 17:05	85
04-01-2016 17:10	79
04-01-2016 17:15	105
04-01-2016 17:20	103
04-01-2016 17:25	90
04-01-2016 17:30	82
04-01-2016 17:35	100
04-01-2016 17:40	92
04-01-2016 17:45	80
04-01-2016 17:50	83
04-01-2016 17:55	77
04-01-2016 18:00	73
04-01-2016 18:05	67
04-01-2016 18:10	76
04-01-2016 18:15	76
04-01-2016 18:20	68
04-01-2016 18:25	72
04-01-2016 18:30	72
04-01-2016 18:35	60
04-01-2016 18:40	69
